player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Joe Milton,DAL,QB,00-0039398,practice_squad,,,0.0,0.0,,,,9.6059,0,0,,9.9187,,,,3.6315,,0.0,0.0,0.0,0.0
Sam Howell,DAL,QB,00-0037077,active,,,0.0,0.025,,,,-33.1993,0.1818,0,,5.9286,,,,2.835,,0.0,0.025,0.0,0.025
Dak Prescott,DAL,QB,00-0033077,active,,,0.0,0.01,,,,2.8857,0.0485,0.025,,7.8232,,,,2.8089,,0.0,0.01,0.0,0.01
Javonte Williams,DAL,RB,00-0036997,active,,,0.07,0.675,0.7204,4.0773,6.1551,,,,-0.7436,,0,-1.6918,0.1291,,3.2,0.085,0.675,0.045,0.675
Malik Davis,DAL,RB,00-0037563,active,,,0.03,0.195,0.3333,5.0907,3,,,,3.4167,,0,-1.6178,0,,3.2,0.02,0.195,0.01,0.195
Emari Demercado,DAL,RB,00-0038705,active,,new to team,0.02,0.045,0.7143,6.5,5.76,,,,0.929,,0.0143,-1.2465,0.18,,3.2,0.02,0.045,0.01,0.045
Hunter Luepke,DAL,RB,00-0038738,active,,,0.0,0.0,0.8083,3.6117,8.7157,,,,0.4167,,0,1.3286,0.3333,,3.2,0.0,0.0,0.0,0.0
Israel Abanikanda,DAL,RB,00-0038389,practice_squad,,,0.0,0.0,0.6364,3.182,6.571,,,,0.545,,0,0,0.15,,3.2,0.0,0.0,0.0,0.0
CeeDee Lamb,DAL,WR,00-0036358,active,,,0.26,0.015,0.6631,4.25,5.0801,,,,9.4677,,0.1265,-0.0125,0.1692,,2.7966,0.25,0.015,0.235,0.015
George Pickens,DAL,WR,00-0037247,active,,,0.215,0.005,0.6387,-3,4.429,,,,12.3305,,0.2245,-0.002,0.1869,,2.4201,0.23,0.005,0.26,0.005
Ryan Flournoy,DAL,WR,00-0039410,active,,,0.115,0.0,0.7103,6.6667,4.0583,,,,8.0527,,0.1066,-0.199,0.146,,3.4252,0.115,0.0,0.125,0.0
KaVontae Turpin,DAL,WR,00-0037801,active,,,0.075,0.055,0.6518,4.803,9.4352,,,,8.9468,,0.1403,2.9947,0.2809,,4.3845,0.06,0.055,0.035,0.055
Anthony Smith,DAL,WR,00-0040900,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Camden Brown,DAL,WR,00-0040930,active,,,0.035,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.03,0.0,0.02,0.0
Jonathan Mingo,DAL,WR,00-0039062,active,,,0.0,0.0,0.3544,2.5,3.0303,,,,12.7851,,0.1702,-2.4217,0.0758,,3.7283,0.0,0.0,0.0,0.0
Jordan Hudson,DAL,WR,00-0040934,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Jake Ferguson,DAL,TE,00-0038041,active,,,0.14,0.0,0.7134,1,4.3558,,,,5.2095,,0.0723,-0.3064,0.116,,3.4022,0.15,0.0,0.205,0.0
Luke Schoonmaker,DAL,TE,00-0038547,active,,,0.04,0.0,0.6604,4,4.78,,,,6.5389,,0.1146,0.0376,0.2333,,2.7757,0.04,0.0,0.055,0.0
Brevyn Spann-Ford,DAL,TE,00-0039530,active,,,0.0,0.0,0.6646,4,4,,,,6.6188,,0.0625,-0.0708,0.1667,,5.6002,0.0,0.0,0.0,0.0
DJ Rogers,DAL,TE,00-0040938,ir,8,OUT wk1 (ir),0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0
Michael Trigg,DAL,TE,00-0040939,practice_squad,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0
Mitch Van Vooren,DAL,TE,00-0040702,practice_squad,,new to team,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0
Princeton Fant,DAL,TE,00-0038735,ir,8,OUT wk1 (ir),0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0
Totals,,,,,,,1.0,1.025,,,,,,,,,,,,,,1.0,1.025,1.0,1.025
